호선명,지하철역,role,lat,lng,business_place,residential_place,mixed_place,place,dist
1호선,동대문,other,37.57110593971035,127.00976666369658,-1,-1,-1,-1,
1호선,동묘앞,other,37.57329730966541,127.01665530024688,-1,-1,-1,-1,
1호선,서울역,business,37.55566267132654,126.9723995344906,2,-1,-1,2,446.55517688550214
1호선,시청,business,37.56431993168064,126.97564721525154,2,-1,-1,2,643.9486806540152
1호선,신설동,other,37.57568330311578,127.02449537109462,-1,-1,-1,-1,
1호선,제기동,other,37.57837228457723,127.03376046869968,-1,-1,-1,-1,
1호선,종각,business,37.57044199061286,126.9833657641669,2,-1,-1,2,1477.0136631423336
1호선,종로3가,business,37.57123768590535,126.9921282612262,2,-1,-1,2,2007.7142225588939
1호선,종로5가,other,37.570988,127.001921,-1,-1,-1,-1,
1호선,청량리(서울시립대입구),other,37.579892576268506,127.04531652547182,-1,-1,-1,-1,
2호선,강남,business,37.49736696699724,127.02786315490349,0,-1,-1,0,1273.8991735949976
2호선,강변(동서울터미널),residential,37.535098,127.094695,-1,0,-1,4,6238.973310378671
2호선,건대입구,mixed,37.54065910963556,127.0696415597521,-1,-1,2,11,2090.955419058552
2호선,교대(법원.검찰청),business,37.49279345737089,127.01411393329036,0,-1,-1,0,2503.241112016769
2호선,구로디지털단지,mixed,37.48505751518334,126.90149541746273,-1,-1,1,10,4458.320463750653
2호선,구의(광진구청),other,37.537359662532594,127.08651759531142,-1,-1,-1,-1,
2호선,낙성대(강감찬),other,37.4711007,126.95999,-1,-1,-1,-1,
2호선,당산,residential,37.53415205735863,126.9020905495082,-1,1,-1,5,4164.280689370385
2호선,대림(구로구청),residential,37.49334572870372,126.89575596596283,-1,2,-1,6,4038.921456418562
2호선,도림천,other,37.51447,126.88264,-1,-1,-1,-1,
2호선,동대문역사문화공원(DDP),other,37.565682,127.008953,-1,-1,-1,-1,
2호선,뚝섬,other,37.547020554263966,127.04807085037945,-1,-1,-1,-1,
2호선,문래,other,37.516637,126.891505,-1,-1,-1,-1,
2호선,방배,other,37.48155477078008,126.9972400061135,-1,-1,-1,-1,
2호선,봉천,residential,37.48283944000596,126.94111397425712,-1,2,-1,6,1730.94712367415
2호선,사당,mixed,37.48438406278047,126.97403280543422,-1,-1,1,10,2425.354776869104
2호선,삼성(무역센터),business,37.50895307023809,127.0632213014762,0,-1,-1,0,2357.4395718370797
2호선,상왕십리,other,37.56430005455948,127.02958686524622,-1,-1,-1,-1,
2호선,서울대입구(관악구청),residential,37.48126975960335,126.95278529112817,-1,2,-1,6,2345.565111739984
2호선,서초,other,37.49168303406662,127.00777892568289,-1,-1,-1,-1,
2호선,선릉,business,37.50464643153688,127.04920627041982,0,-1,-1,0,1122.4021269154416
2호선,성수,business,37.54480943658188,127.05533034760548,0,-1,-1,0,4572.627992526383
2호선,시청,business,37.56431993168064,126.97564721525154,2,-1,-1,2,643.9486806540152
2호선,신답,other,37.5698,127.047095,-1,-1,-1,-1,
2호선,신당,other,37.565669,127.019452,-1,-1,-1,-1,
2호선,신대방,residential,37.48711938674781,126.91332432047685,-1,2,-1,6,2458.643452995135
2호선,신도림,mixed,37.508555315909,126.89122898911324,-1,-1,1,10,5413.238072178791
2호선,신림,mixed,37.48431992887807,126.92975985018224,-1,-1,1,10,2192.9612834163654
2호선,신설동,other,37.57568330311578,127.02449537109462,-1,-1,-1,-1,
2호선,신정네거리,other,37.52023308228248,126.85268543265587,-1,-1,-1,-1,
2호선,신촌,residential,37.559771,126.942367,-1,1,-1,5,1533.4678553917227
2호선,아현,other,37.55735592151439,126.95607371399475,-1,-1,-1,-1,
2호선,양천구청,other,37.51253877916507,126.86600720876028,-1,-1,-1,-1,
2호선,역삼,business,37.50042848242028,127.03590483928248,0,-1,-1,0,671.7271104360941
2호선,영등포구청,other,37.52571822723635,126.89652807009404,-1,-1,-1,-1,
2호선,왕십리(성동구청),residential,37.56129280207992,127.03724484828416,-1,0,-1,4,3654.362642658092
2호선,용답,other,37.562178,127.050853,-1,-1,-1,-1,
2호선,용두(동대문구청),other,37.574040303674174,127.03830077574668,-1,-1,-1,-1,
2호선,을지로3가,business,37.566147936268656,126.99099170395571,2,-1,-1,2,1573.708382832916
2호선,을지로4가,other,37.56645722210367,126.99799738511024,-1,-1,-1,-1,
2호선,을지로입구,business,37.566119417495074,126.98260642600862,2,-1,-1,2,1027.9047139052939
2호선,이대,other,37.55654771193129,126.94574117548296,-1,-1,-1,-1,
2호선,잠실(송파구청),mixed,37.51424340621623,127.10339984743408,-1,-1,2,11,2091.143022130472
2호선,잠실나루,other,37.52086748664375,127.10350964749668,-1,-1,-1,-1,
2호선,잠실새내,other,37.5116322759386,127.08620014290108,-1,-1,-1,-1,
2호선,종합운동장,other,37.51125023009749,127.07528841397652,-1,-1,-1,-1,
2호선,충정로(경기대입구),other,37.55987604952406,126.96342309233982,-1,-1,-1,-1,
2호선,한양대,other,37.55577018575893,127.04326353089188,-1,-1,-1,-1,
2호선,합정,residential,37.5489925872559,126.91398300105878,-1,1,-1,5,2209.504091499003
2호선,홍대입구,mixed,37.55673466648325,126.9245515730128,-1,-1,0,9,0.0
3호선,가락시장,other,37.49262375265571,127.11845843437312,-1,-1,-1,-1,
3호선,경복궁(정부서울청사),other,37.57596567594712,126.97413365201707,-1,-1,-1,-1,
3호선,경찰병원,other,37.49564322077213,127.12412156970288,-1,-1,-1,-1,
3호선,고속터미널,mixed,37.50483885125289,127.00386634886466,-1,-1,1,10,4839.190916077805
